no_of_rainy_days,year,month,total_rainfall,mean_rh,maximum_rainfall_in_a_day,wet_bulb_temperature,mean_sunshine_hrs,monthly_mean_of_min_daily_temperature_celcius
11,2012,2,83.6,85.6,38.4,25.257183908045977,7.0,27.2
21,2012,3,313.4,87.3,92.3,25.314247311827955,4.2,27.0
20,2012,4,260.6,85.1,48.4,25.57111111111111,5.8,27.6
19,2012,5,292.0,83.1,79.2,25.842473118279568,5.6,28.2
8,2012,6,53.0,79.0,38.2,25.799305555555556,6.0,28.7
17,2012,7,130.8,81.1,35.4,25.18494623655914,6.2,27.7
12,2012,8,119.0,79.8,31.0,25.202016129032256,6.1,27.9
10,2012,9,107.6,79.7,35.8,25.150555555555556,5.6,27.9
13,2012,10,122.2,81.3,22.6,25.155779569892474,5.9,27.7
22,2012,11,208.2,85.4,49.2,25.138472222222223,4.4,27.1
22,2012,12,363.4,87.0,78.8,24.978494623655912,3.6,26.7
15,2013,1,262.0,82.1,73.0,24.62849462365591,6.0,27.1
22,2013,2,395.2,86.9,95.2,24.79285714285714,4.0,26.5
10,2013,3,85.8,80.4,29.6,25.5497311827957,7.5,28.3
19,2013,4,159.4,82.7,41.6,25.81625,5.2,28.2
17,2013,5,211.4,83.1,46.2,25.848387096774193,5.4,28.2
12,2013,6,111.4,74.6,22.4,25.30388888888889,6.4,29.0
15,2013,7,174.6,79.9,37.4,25.04193548387097,5.7,27.8
15,2013,8,165.6,79.0,43.2,25.04422043010753,6.1,27.9
19,2013,9,257.0,81.3,52.6,25.012916666666666,4.6,27.5
19,2013,10,285.4,79.9,139.8,24.95766129032258,6.3,27.7
22,2013,11,292.4,84.6,44.0,25.066666666666666,4.5,27.1
21,2013,12,348.2,85.8,119.8,24.609139784946237,3.5,26.5
5,2014,1,75.4,78.5,31.2,23.391129032258064,5.3,26.2
1,2014,2,0.2,74.5,0.2,23.708333333333332,8.8,27.2
6,2014,3,66.0,76.0,52.6,24.54462365591398,8.0,27.9
17,2014,4,110.0,80.0,28.8,25.461805555555557,5.7,28.2
18,2014,5,125.8,80.2,22.2,25.811424731182797,5.8,28.6
11,2014,6,71.4,77.5,18.8,25.880972222222223,6.0,29.0
15,2014,7,148.6,78.3,29.0,25.704704301075267,5.5,28.7
20,2014,8,241.0,79.7,44.2,24.933198924731183,4.5,27.7
9,2014,9,83.6,75.6,34.6,25.079583333333332,7.0,28.5
